id,name,type,quality,faction,cost,buy_energy,sell_energy,skill_summary,original,awakening,attackStyle,attackDistance,lineups,priority,image,version,source,source_url
hero-5111,猪八戒,英雄牌,3,无阵营,3,3,1,卡面：夺取 每当3阶及以下英雄合成时，与其同阶的英雄等级+1。 技能「肉弹蹦床」：被动：猪八戒每承受600点伤害将永久提升45点最大生命值并增大体型，但降低1%移动速度，最多叠加30层。 主动：猪八戒奋力跳起，落地时震击地面，对附近1格敌人造成7%最大生命值的法术伤害。,夺取 每当3阶及以下英雄合成时，与其同阶的英雄等级+1。,夺取 每当3阶及以下英雄合成时，与其同阶的英雄等级+2。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/e0041c4e31cdedf92e2cd1055396f2a0b94cbd160c9168f7aa9fd2a8472a88cf.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-5111
hero-1441,程咬金,英雄牌,3,河洛,3,3,1,卡面：整备：获得1张古币，对自身使用1张古币。 技能「正义潜能」：程咬金迸发出自身的正义热情，3秒内恢复35+10%最大生命值的生命值。,整备：获得1张古币，对自身使用1张古币。,整备：获得1张精致古币，对自身使用1张精致古币。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/7669a015aed8a6b975612617c1606950db5bc5c9ee2f7e969fb4fdfaab0c67e7.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1441
hero-1331,狄仁杰,英雄牌,3,河洛,3,3,1,卡面：对狄仁杰使用古币时，其攻击速度永久+5%。 技能「迅捷」：狄仁杰激发潜能，获得1层迅捷效果，增加自身40%基础攻击速度，持续5秒，若已经达到攻速上限，则获得3%物理攻击力，最多叠加3次。,对狄仁杰使用古币时，其攻击速度永久+5%。,对狄仁杰使用古币时，其攻击速度永久+10%。,远程,5,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/35bb5d710ff6dde31200a6dedc5f78d020b912178998637d2aab4104481e4a1e.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1331
hero-zhangliang,张良,英雄牌,3,大河流域,3,3,1,卡面：每当你的单位触发开团效果时，场上随机3名己方英雄等级永久+1。 技能「言灵·操纵」：张良以言灵之术抓住1名敌人，持续1.5秒，期间每0.5秒造成100点法术伤害，并持续压制对方。,每当你的单位触发开团效果时，场上随机3名己方英雄等级永久+1。,每当你的单位触发开团效果时，所有英雄等级永久+1。,远程,4,大河图腾流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/581532c625ac5ba9db0a151dc15446010ed7f25d2d67fd696414a0007263d812.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-zhangliang
hero-shaosiyuan,少司缘,英雄牌,3,大河流域,3,3,1,卡面：在场时，召唤因缘图腾。 技能「因缘际会」：少司缘指挥成群的缘崽向前拥簇飞行，恢复沿途友军100+50%法术攻击力的生命值。,在场时，召唤因缘图腾。,在场时，召唤并强化因缘图腾。,远程,5,大河图腾流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/2789839b8838fedd005aeddfe4a39a35f2ea2d3b54aa2a028e5da76d568522ad.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-shaosiyuan
hero-1661,亚瑟,英雄牌,3,日落海,3,3,1,卡面：每当你使用【日落海】英雄牌时，阿科米亚核心等级+3。 技能「誓约之盾」：亚瑟召唤圣盾围绕自身旋转，持续5秒。每秒对1格内敌人造成50%物理攻击力的物理伤害并获得15%伤害减免，亚瑟每次参与击杀获得30点最大生命值。,每当你使用【日落海】英雄牌时，阿科米亚核心等级+3。,每当你使用【日落海】英雄牌时，阿科米亚核心等级+6。,近战,1,,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/98f4db92afe01bbc1b6041c1416fe17fd67c80ea96692180f1499dca603d0f4c.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1661
hero-1751,钟馗,英雄牌,3,河洛,3,3,1,卡面：自身及左右1格的英雄获得牺牲：击败者等级临时降低10%（每场战斗限1次）。 技能「湮灭之锁」：钟馗投出钩锁，将距离自己最远的1名敌人拉到身边，造成50+100%法术攻击力的法术伤害，并使其成为友军的优先攻击目标。,自身及左右1格的英雄获得牺牲：击败者等级临时降低10%（每场战斗限1次）。,自身及左右1格的英雄获得牺牲：击败者等级临时降低20%（每场战斗限1次）。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/9e260349a266470964af1da551c2c35f908f1a2fb80434d3adb3f03b8b00b817.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1751
hero-1411,貂蝉,英雄牌,3,三分之地,3,3,1,卡面：登场：【三分】英雄等级+1。 技能「语·花印」：貂蝉向周围2格的随机敌人施放5朵花球，每朵花球造成50+40%法术攻击力的法术伤害并降低敌人70%生命恢复效果，持续5秒。,登场：【三分】英雄等级+1。,登场：【三分】英雄等级+2。,远程,2,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/3fdc7d8d6fb88454d6f5f1eef55ddc5c7ecb46b8fea553b7c62cf249b01df70d.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1411
hero-1421,安琪拉,英雄牌,3,日落海,3,3,1,卡面：整备：自身及阿科米亚核心等级+2。 技能「炽热光辉」：安琪拉引导魔力朝敌人最多的方向施放炽热光辉，持续3秒，对路径上的敌人每0.1秒造成10%法术攻击力的法术伤害。,整备：自身及阿科米亚核心等级+2。,整备：自身及阿科米亚核心等级+2，触发2次。,远程,5,日落海整备流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/ffa74cb1d8dc44b5124ebb5f4c829e911be9ff36c33cd845de21a616ebca8d06.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1421
hero-5051,瑶,英雄牌,3,大河流域,3,3,1,卡面：开团：自身的首件普通装备分享给随机3名友方英雄（持续15秒）。 技能「独立兮山之上」：被动：瑶在备战阶段，选择最近的友方英雄作为保护目标并在开战时附身其上。附身提供200+20%瑶最大生命值的护盾，以及10点双攻和5点双防，直到目标被击败。附身期间瑶会每2秒随机攻击至多2名敌人，造成50+50%法术伤害。,开团：自身的首件普通装备分享给随机3名友方英雄（持续15秒）。,开团：自身的首件普通装备分享给随机3名友方英雄。,远程,4,常小娥四人队,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/3bb62f50dfcf1a7c8ecc48889496d143450678987bbcef66af568926ffd06173.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-5051
hero-5311,镜,英雄牌,3,逐鹿,3,3,1,卡面：闪现 每使用2张效果牌，等级+1。 技能「裂空」：镜旋转攻击，对当前目标敌人造成60+80%物理攻击力的物理伤害。,闪现 每使用2张效果牌，等级+1。,闪现 每使用2张效果牌，等级+2。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/5810bbc25499c3ec647dc9e170cc3f811c73e19c62fe2e4ea76016def4326f09.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-5311
hero-1591,朵莉亚,英雄牌,3,日落海,3,3,1,卡面：每当你的英雄触发整备效果时，随机3名英雄及阿科米亚核心等级+1。 技能「逐浪」：被动：朵莉亚在自身创建的水域内会化身人鱼形态。普通攻击会额外恢复5点法力值，对目标附带50%法术攻击力的法术伤害，在水域内再次施放技能，原水域消失形成新水域。 主动：跃向3格内友军密集处创造一片水域，水域持续10秒，朵莉亚在水域中化身人鱼形态，落地立即恢复范围内友军75+100%法术攻击力的生命值，10点法力值（法力值恢复不对朵莉亚生效），水域每秒恢复范围内友军50%法术攻击力的生命值，朵莉亚离开水域时水域消失并且恢复人形态。,每当你的英雄触发整备效果时，随机3名英雄及阿科米亚核心等级+1。,每当你的英雄触发整备效果时，己方所有英雄及阿科米亚核心等级+1。,远程,4,日落海整备流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/8c81c0f40bd78298e46ad8144f35f4149431c16a03168e3aa4ebe9a6e0226e92.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1591
hero-5451,莱西奥,英雄牌,4,日落海,3,3,1,卡面：每当你出售2名场上英雄后，阿科米亚核心等级+1。 技能「传奇英雄登场」：被动：莱西奥每8次普攻，会使用小火鹰发射1枚强化飞弹，对目标造成150%物理攻击力的物理伤害并且对周围1格敌人造成50%物理攻击力的物理伤害，若未发射，则充能1层，最多储存5层。 主动：莱西奥扔出烟雾弹制造1片烟雾，使处于烟雾中的英雄不会被优先攻击，并且增加30%攻击速度。,每当你出售2名场上英雄后，阿科米亚核心等级+1。,每当你出售场上英雄后，阿科米亚核心等级+1。,远程,4,,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/20f69b5d19481273814528190bd54efcc8f67595ded0c1336b81179a1dcf944c.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-5451
hero-5131,上官婉儿,英雄牌,4,河洛,3,3,1,卡面：整备：随机对3名不同【河洛】英雄使用1张古币。 技能「篆法·疾势」：上官婉儿朝最远处的敌人挥出1记笔墨，对沿途敌人造成100+100%法术攻击力的法术伤害。,整备：随机对3名不同【河洛】英雄使用1张古币。,整备：随机对6名不同【河洛】英雄使用1张古币。,远程,4,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/df4906ba7bc76774c13f4c944d9d81264e69733db58311e09544f22f0dd304e5.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-5131
hero-3551,艾琳,英雄牌,4,日落海,3,3,1,卡面：开团：艾琳获得自身等级×1%的攻击速度。 技能「叶舞·致意」：被动：艾琳每次普攻为自己累积1层月桂祝福，当达到10/20层时，艾琳的技能会获得进化。 主动：艾琳向当前目标敌人发出1束月桂叶，造成100%法术攻击力的法术伤害。 10层进化：若周围2格有敌人，则位移至敌人较少处，随后向目标发出1片月桂飞叶，造成100%法术攻击力的法术伤害。 20层进化：若周围2格有敌人，则位移至敌人较少处，向目标发出5片月桂飞叶，每片造成100%法术攻击力的法术伤害。,开团：艾琳获得自身等级×1%的攻击速度。,开团：艾琳获得自身等级×2%的攻击速度。,远程,5,,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/9a1376086afb7e8df0578073a963e6c73509226abdd3dc322e0463cf708d6d50.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-3551
hero-1191,扁鹊,英雄牌,4,逐鹿,3,3,1,卡面：友方单位护盾被击破时，对周围敌人造成该英雄最大生命值10%的法术伤害（冷却1秒）。 技能「万变灵药」：扁鹊朝场上生命值比例最低的3个单位扔出药瓶，药瓶触地后破碎留下药液，持续5秒。处于药液中的友军每秒恢复20+60%法术攻击力的生命值，处于药液中的敌人每秒受到20+60%法术攻击力的法术伤害，效果可叠加。,友方单位护盾被击破时，对周围敌人造成该英雄最大生命值10%的法术伤害（冷却1秒）。,友方单位护盾被击破时，对周围敌人造成该英雄最大生命值20%的法术伤害（冷却1秒）。,远程,4,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/646afeeb0320c884dd084e74ac92f0716fdcf190fef5f8d5b0150f880c3a9412.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1191
hero-yingzheng,嬴政,英雄牌,4,逐鹿,3,3,1,卡面：开团：法术攻击力+ 7。每次使用战术牌会提升该加成。 技能「至尊王权」：嬴政展示王权，锁定最近的敌人，在5秒内号令80把飞剑朝其冲击，每把飞剑造成10+10%法术攻击力的法术伤害。若当前路径上没有敌人，嬴政会立即转向下个目标。,开团：法术攻击力+ 7。每次使用战术牌会提升该加成。,开团：法术攻击力+ 14。每次使用战术牌会提升该加成。,远程,5,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/40683bf1f97155c6d52dc08a129389d9971461f9bdbe38df9ca03f3c6b982c6d.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-yingzheng
hero-lixin,李信,英雄牌,4,河洛,3,3,1,卡面：每当你拥有牺牲效果的英雄阵亡时，李信临时等级+7。 技能「力量觉醒」：李信免控并短暂蓄力后当前方向挥出1道剑气，对命中的敌人造成50+180%物理攻击力的物理伤害。,每当你拥有牺牲效果的英雄阵亡时，李信临时等级+7。,每当你拥有牺牲效果的英雄阵亡时，李信临时等级+14。,远程,4,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/edbfc3965148f7e890dbc558da510e8a709dd53a0b695440b11b16c001fd1ab2.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-lixin
hero-1311,李白,英雄牌,4,河洛,3,3,1,卡面：闪现 古币牌会额外提供4临时等级。若目标为李白，该临时等级会额外+3。 技能「青莲剑歌」：被动：李白施放技能时会积累1道剑气，最多4道。每道剑气提升10%基础物理攻击力。 主动：李白施展剑阵，降低目标敌人及其相邻敌人6点物理防御。随后化身剑气施展6次斩击，每次造成80%物理攻击力的物理伤害，伤害由范围内的敌人平均分摊。,闪现 古币牌会额外提供4临时等级。若目标为李白，该临时等级会额外+3。,闪现 古币牌会额外提供8临时等级。若目标为李白，该临时等级会额外+6。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/c9cc1a3e0e164414f72f29e955a09ad470f1a6caff49b88769d4ac10da1fb9a5.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1311
hero-1831,雅典娜,英雄牌,4,日落海,3,3,1,卡面：开团：随机触发2名【日落海】英雄的整备效果。 技能「敬畏圣盾」：雅典娜举起圣盾，获得免控以及持续6秒15%最大生命值的护盾。2秒后雅典娜将使用圣盾反击，对附近1格敌人造成30点法术伤害。,开团：随机触发2名【日落海】英雄的整备效果。,开团：随机触发4名【日落海】英雄的整备效果。,近战,1,日落海整备流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/313588af4713c919e898bd06f899440313a1f9a09397dcd6dd31e6a897c04f53.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1831
hero-1861,太乙真人,英雄牌,4,无阵营,3,3,1,卡面：开团：使距离最近的1名英雄获得复生。 技能「第三只手」：太乙真人将自身拉向最远敌人，并嘲讽周围1格的敌人。,开团：使距离最近的1名英雄获得复生。,开团：使距离最近的1名英雄获得完美复生。,近战,1,大河图腾流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/2a7efa2a8be78467cb503e8b4edf52be0f412994adc90c444f5a3a0a15f19d87.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1861
hero-1671,孙悟空,英雄牌,4,无阵营,3,3,1,卡面：闪现，夺取 整备：拥有闪现效果的英雄等级+2。 技能「大圣神威」：孙悟空挥舞金箍棒砸向前方，造成100+400%物理攻击力的物理伤害。,闪现，夺取 整备：拥有闪现效果的英雄等级+2。,闪现，夺取 整备：拥有闪现效果的英雄等级+4。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/06307c35d7c8936db4eee2d58b6bca016cb9febfeb05d4540ed4de10c9d4822d.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1671
hero-1271,甄姬,英雄牌,4,三分之地,3,3,1,卡面：登场：获得1张其他的登场英雄牌。 技能「叹息水流」：甄姬施放水流冲击当前目标敌人并弹向3格内最远的敌人，最多弹射4次，每次造成30+40%法术攻击力的法术伤害。敌人在3秒内受到3次水流伤害后会被冻结1秒。若目标附近无其他敌人则直接对其造成3倍水流伤害并直接被冻结。,登场：获得1张其他的登场英雄牌。,登场：从3张其他的登场英雄牌中选择1张。,远程,4,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/66a9503b26e88c2fb9d9140713dfdb557c7b50ec45a2d65be019ef5201d2e5d8.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1271
hero-1061,小乔,英雄牌,4,三分之地,3,3,1,卡面：每当你的英雄触发登场效果时，随机3名英雄等级+1。 技能「甜蜜恋风」：小乔持续引导1道旋风吹起最近的敌人，使其浮空并每0.2秒受到10%法术攻击力的法术伤害，最多3秒。,每当你的英雄触发登场效果时，随机3名英雄等级+1。,每当你的英雄触发登场效果时，所有英雄等级+1。,远程,4,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/829539cc964045430716bdc82abc19f2d77c493eb43860764dd0eac0a9dd98cc.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1061
hero-5171,大司命,英雄牌,4,大河流域,3,3,1,卡面：在场时，召唤往生图腾。 每当你触发牺牲效果时：往生图腾等级永久+2并获得50点法力值。 技能「魂归忘忧」：被动：大司命的普通攻击会持续连接敌人，在3秒内造成5次伤害，每次造成50%物理攻击力的物理伤害。 主动：大司命神巫之力全开，从天而临对附近2格敌人造成150+200%物理攻击力的物理伤害并恢复100+5%最大生命值的生命值。同时凝聚1名范围内敌人的灵体协助战斗（视作召唤物）。之后进入神巫状态，无法恢复法力值，但普攻会恢复10+1%最大生命值的生命值。 灵体继承大司命部分属性，并且在大司命神巫状态攻击时，获得同样的生命恢复效果。,在场时，召唤往生图腾。 每当你触发牺牲效果时：往生图腾等级永久+2并获得50点法力值。,在场时，召唤往生图腾。 每当你触发牺牲效果时：往生图腾等级永久+4并获得50点法力值。,远程,2,大河图腾流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/3d61be16e140c673914efc8d53bd2634433e680d0445edd9211a92cfccc48873.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-5171
hero-1131,庄周,英雄牌,4,逐鹿,3,3,1,卡面：登场：自身等级+2并获得1张招募战术。 技能「天人合一」：庄周幻化梦域保护队友和自身，驱散自身和左右两边2格内友军，并获得200点护盾，持续5秒。,登场：自身等级+2并获得1张招募战术。,登场：自身等级+4并获得1张高阶招募战术。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/d86d795b743353b1ed8b7167f1c010032b1695afd45688d1ed4e44f21b09030c.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1131
hero-1491,刘邦,英雄牌,4,大河流域,3,3,1,卡面：开团：摧毁你所有的图腾，每摧毁1个，刘邦等级永久+5。 技能「统御战场」：刘邦在4秒内将普攻切换为范围横扫，期间每秒获得50点护盾。被横扫的敌人会被打上印记，友方造成伤害时会消耗标记，造成50+30%法术攻击力的法术伤害。,开团：摧毁你所有的图腾，每摧毁1个，刘邦等级永久+5。,开团：摧毁你所有的图腾，每摧毁1个，刘邦等级永久+10。,近战,1,大河图腾流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/dc3708978bab570d8bfc5912122a03249eade65f01fc7b594d1c8336e6387caf.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1491
hero-1901,诸葛亮,英雄牌,4,三分之地,3,3,1,卡面：你的其他英雄释放技能时，诸葛亮获得15点法力值以及4临时等级。 技能「元气弹」：诸葛亮发射元气弹对当前目标造成150+100%法术攻击力的法术伤害，并对其相邻敌人造成40%伤害。,你的其他英雄释放技能时，诸葛亮获得15点法力值以及4临时等级。,你的其他英雄释放技能时，诸葛亮获得30点法力值以及8临时等级。,远程,4,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/17f0071fbf52aae8e82d6e9cfda27ae3ee1bbbf84d63576a56751699110a74fd.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1901
hero-1501,韩信,英雄牌,4,大河流域,3,3,1,卡面：闪现 每当你的英雄触发整备或开团效果时，韩信等级永久+1。 技能「国士无双」：被动：韩信每第3次普攻击飞敌人1秒，造成160%物理攻击力的物理伤害，并且每击败1名敌军增加10%基础攻击速度。 主动：韩信枪挑敌人造成击飞和100点物理伤害。,闪现 每当你的英雄触发整备或开团效果时，韩信等级永久+1。,闪现 每当你的英雄触发整备或开团效果时，韩信等级永久+2。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/4ef1b19fae996aa459b767fc7279c081cdea07fba95ac35c3353eb6328ac4e7d.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1501
hero-mengya,蒙犽,英雄牌,4,逐鹿,3,3,1,卡面：登场：获得1张特训战术。 技能「飞弹援袭」：蒙犽发射8枚导弹攻击随机敌人，每枚造成30+100%物理攻击力的物理伤害。多枚导弹命中同一目标时，后续伤害衰减40%。,登场：获得1张特训战术。,登场：获得1张高阶特训战术。,远程,5,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/952500e5d65d3f78d7600136796923b793b862063917d7b1f8e1489416f988a3.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-mengya
hero-donghuang,东皇太一,英雄牌,5,大河流域,3,3,1,卡面：图腾不会被优先攻击。 开团：获得每个图腾等级数15%的临时等级。 技能「堕神契约」：被动：东皇太一创造3颗能量球绕自身转动。能量球触碰到敌人时会造成其3%最大生命值的法术伤害并恢复东皇3%的最大生命值。 主动：东皇太一施展堕神契约压制目标敌人5秒，期间双方承受等量伤害。若期间目标距离过远，则效果提前中断。,图腾不会被优先攻击。 开团：获得每个图腾等级数15%的临时等级。,图腾不会被优先攻击。 开团：获得每个图腾等级数30%的临时等级。,近战,1,大河图腾流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/f5656cacfaf076ced2c930ff17fa3b54b315525bc53d706b979535ab048caca1.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-donghuang
hero-aoyin,敖隐,英雄牌,5,大河流域,3,3,1,卡面：战斗中，每个图腾每4秒为敖隐提供16%攻击速度和4临时等级。 技能「隐介藏形」：敖隐唤出白龙冲向敌人密集处，造成100+75%物理攻击力的物理伤害。,战斗中，每个图腾每4秒为敖隐提供16%攻击速度和4临时等级。,战斗中，每个图腾每4秒为敖隐提供32%攻击速度和8临时等级。,远程,5,大河图腾流,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/58e952efd176ef02ed0050dc0b46cbed547088750017a017e2985b5ec09de26e.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-aoyin
hero-5251,鲁班大师,英雄牌,5,逐鹿,3,3,1,卡面：鲁班大师在场时，召唤1个等级与自身相同的机关傀儡。 技能「助推跳跃」：鲁班大师跃入敌人最密集处连接3格内1名敌人并强制拽离，在落地后造成50+60%法术攻击力的法术伤害并眩晕0.5秒。,鲁班大师在场时，召唤1个等级与自身相同的机关傀儡。,鲁班大师在场时，召唤1个等级与自身相同的机关傀儡·改。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/fd7569f09d924cab7f8d8bd1bcf32958059da2033cf1ff79b12051da63856fc9.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-5251
hero-mulan,花木兰,英雄牌,5,河洛,3,3,1,卡面：本回合每使用4张古币牌，获得1次复生（总复生次数： 1）。 牺牲：临时等级+10。 技能「长城巡守者」：被动：花木兰可以通过战场上的剑切换形态，两种形态的基础属性不同。 主动：轻剑形态下，挥舞双剑对目标发起7段攻击，每段造成80%物理攻击力的物理伤害。 重剑形态下，蓄力3秒后，将前方区域内敌人击飞并眩晕1.5秒，造成80+60%物理攻击力的物理伤害。蓄力期间自身处于免控状态。,本回合每使用4张古币牌，获得1次复生（总复生次数： 1）。 牺牲：临时等级+10。,本回合每使用4张古币牌，获得1次复生（总复生次数： 1）。 牺牲：临时等级+20。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/09ce9e950cb0dd6890be6ed3dd6d1a0920d036cd8c24885fdbd361185aad180c.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-mulan
hero-sikongzhen,司空震,英雄牌,5,河洛,3,3,1,卡面：你的其他英雄获得临时等级时，司空震获得一半效果（不超过自身真实等级的1倍）。 技能「雷霆万钧」：司空震升入空中，使用雷鼓轰击全场敌人，造成50+65%法术攻击力的法术伤害。 雷霆之王：基础攻击速度增加15%。普攻能产生可传导3次的闪电链，造成75+50%法术攻击力的法术伤害，伤害逐次递减25%。闪电链伤害的40%会转化为自身护盾，上限300点。,你的其他英雄获得临时等级时，司空震获得一半效果（不超过自身真实等级的1倍）。,你的其他英雄获得临时等级时，司空震获得全部效果（不超过自身真实等级的2倍）。,远程,5,常小娥四人队,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/56596d826b7e4daeddfabdb5cfd4f419e0300a3bd2f2c393cf75255ae7a781d8.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-sikongzhen
hero-1481,姜子牙,英雄牌,5,无阵营,3,3,1,卡面：你每次使用不在场的阵营以及无阵营的英雄牌时，姜子牙和随机3名其他不同阵营的英雄等级+1。 技能「天人法则」：姜子牙变为天人形态，获得免控并朝最远的敌方汇聚天地能量2秒，发射1道冲击波对路径上的敌人造成80+80%法术攻击力的法术伤害。同一单位被多道冲击波命中时，伤害每次衰减15%，至多60%。,你每次使用不在场的阵营以及无阵营的英雄牌时，姜子牙和随机3名其他不同阵营的英雄等级+1。,你每次使用不在场的阵营以及无阵营的英雄牌时，姜子牙和随机3名其他不同阵营的英雄等级+2。,远程,6,,1,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/e7606654dc2043379a5543fc7a79c3d47da2bf748392f284074e12904d213052.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1481
hero-1361,武则天,英雄牌,5,河洛,3,3,1,卡面：古币牌提升的等级+1。 登场：获得1张精致古币。 技能「君命无二」：武则天以女帝权威施行制裁，持续吟唱8秒，每隔0.75秒随机选择1名敌人，在其脚下召唤法阵并引爆，命中时造成100+75%法术攻击力的法术伤害，并使其生命恢复效果降低50%，持续6秒（不可叠加）。法阵在3秒内连续命中相同敌人时，伤害将衰减15%，最多45%。,古币牌提升的等级+1。 登场：获得1张精致古币。,古币牌提升的等级+2。 登场：获得2张精致古币。,远程,4,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/8e21dad39aa3a85e7b23919e161999749a350dd2d843cf932123454debf680be.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-1361
hero-lvbu,吕布,英雄牌,5,三分之地,3,3,1,卡面：开团：等级最高的3名【三分】英雄获得20%物理和法术吸血，若目标为吕布，效果翻倍。 技能「魔神降世」：被动：吕布的普通攻击能对身前敌人造成范围伤害。 主动：吕布跃入敌人密集区域，将2格内敌人击飞1秒并造成120+120%物理攻击力的物理伤害，降低其70%生命恢复效果，持续5秒。每命中1名敌人恢复5%最大生命值并在接下来的5秒内提升20%物理吸血。,开团：等级最高的3名【三分】英雄获得20%物理和法术吸血，若目标为吕布，效果翻倍。,开团：等级最高的6名【三分】英雄获得20%物理和法术吸血，若目标为吕布，效果翻倍。,近战,1,,0,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/cecbc2b9412388adde4f3123f209af6ce5e09e036f2d4a804c73befbda0a0aea.webp,官方 2026-08-28,官方卡牌资料,https://wanxiangqiwiki.com/explore/hero-lvbu
